Domain,Disposable,Free,Blacklist
"0x00.name","false","true","false"
"0x02.tk","false","true","false"
"0x03.cf","false","true","false"
"0x03.ga","false","true","false"
"0x03.gq","false","true","false"
"0x03.ml","false","true","false"
"0x03.tk","false","true","false"
"0x207.info","true","false","false"
"10.dns-cloud.net","false","true","false"
"1000rebates.stream","true","false","false"
"100hot.ru","false","true","false"
"100kti.xyz","false","true","false"
"100likers.com","true","false","false"
"101price.co","false","true","false"
"1033edge.com","false","true","false"
"1056windtreetrace.com","false","true","false"
"105kg.ru","true","false","false"
"10g.pl","false","true","false"
"10host.top","false","true","false"
"10launcheds.com","false","true","false"
"10mail.com","true","false","false"
"10mail.org","true","false","false"
"10minut.com.pl","true","false","false"
"10minut.xyz","true","false","false"
"10minute.cf","false","true","false"
"10minute-email.com","false","true","false"
"10minutemail.be","true","false","false"
"10minutemail.cf","true","false","false"
"10minutemail.co.uk","true","false","false"
"10minutemail.co.za","true","false","false"
"10minutemail.com","true","false","false"
"10minutemail.de","true","false","false"
"10minutemail.ga","true","false","false"
"10minutemail.gq","true","false","false"
"10minutemail.info","false","true","false"
"10minutemail.ml","true","false","false"
"10minutemail.net","true","false","false"
"10minutemail.nl","true","false","false"
"10minutemail.org","false","true","false"
"10minutemail.pl","false","true","false"
"10minutemail.pro","true","false","false"
"10minutemail.ru","false","true","false"
"10minutemail.us","true","false","false"
"10minutemailbox.com","true","false","false"
"10minutemails.in","true","false","false"
"10minutenemail.de","true","false","false"
"10minutesmail.com","true","false","false"
"10minutesmail.fr","true","false","false"
"10minutesmail.net","false","true","false"
"10minutesmail.ru","false","true","false"
"10minutetempemail.com","false","true","false"
"10minutmail.pl","true","false","false"
"10vpn.info","false","true","false"
"10x.es","false","true","false"
"10x9.com","true","false","false"
"11163.com","true","false","false"
"11-32.cf","false","true","false"
"11-32.ga","false","true","false"
"11-32.gq","false","true","false"
"11-32.ml","false","true","false"
"11-32.tk","false","true","false"
"117.yyolf.net","false","true","false"
"11mail.com","false","true","false"
"11top.xyz","false","true","false"
"120mail.com","false","true","false"
"123.com","false","true","false"
"123.dns-cloud.net","false","true","false"
"123anddone.com","false","true","false"
"123box.net","false","true","false"
"123india.com","false","true","false"
"123-m.com","true","false","false"
"123mail.cl","false","true","false"
"123mail.dk","false","true","false"
"123mail.net","false","true","false"
"123mail.org","false","true","false"
"123qwe.co.uk","false","true","false"
"126.com","false","true","false"
"126.net","false","true","false"
"12ab.info","false","true","false"
"12freeukisp.co.uk","false","true","false"
"12fuel.dk","false","true","false"
"12hosting.net","true","false","false"
"12houremail.com","true","false","false"
"12mail.dk","false","true","false"
"12minutemail.com","true","false","false"
"12minutemail.net","true","false","false"
"12move.dk","false","true","false"
"12storage.com","true","false","false"
"138mail.com","false","true","false"
"139.com","false","true","false"
"13dk.net","false","true","false"
"13sasytkgb0qobwxat.cf","false","true","false"
"13sasytkgb0qobwxat.ga","false","true","false"
"13sasytkgb0qobwxat.gq","false","true","false"
"13sasytkgb0qobwxat.ml","false","true","false"
"13sasytkgb0qobwxat.tk","false","true","false"
"140unichars.com","true","false","false"
"147.cl","true","false","false"
"14n.co.uk","true","false","false"
"150mail.com","false","true","false"
"150ml.com","false","true","false"
"15meg4free.com","false","true","false"
"15qm.com","true","false","false"
"15qm-mail.red","false","true","false"
"160by2.com","false","true","false"
"163.com","false","true","false"
"1676.ru","false","true","false"
"168.com","false","true","false"
"168.net","false","true","false"
"16mail.com","false","true","false"
"1766258.com","false","true","false"
"1-8.biz","true","false","false"
"188.com","false","true","false"
"189.cn","false","true","false"
"18-9-2.cf","false","true","false"
"18-9-2.ga","false","true","false"
"18-9-2.gq","false","true","false"
"18-9-2.ml","false","true","false"
"18-9-2.tk","false","true","false"
"19922.cf","false","true","false"
"19922.ga","false","true","false"
"19922.ml","false","true","false"
"1airpods.ru","false","true","false"
"1aolmail.com","false","true","false"
"1auto.com","false","true","false"
"1blackmoon.com","true","false","false"
"1bstb.ru","false","true","false"
"1ce.us","true","false","false"
"1chuan.com","true","false","false"
"1clck2.com","true","false","false"
"1colony.com","false","true","false"
"1coolplace.com","false","true","false"
"1dmedical.com","false","true","false"
"1e72.com","false","true","false"
"1e80.com","false","true","false"
"1email.eu","false","true","false"
"1freeemail.com","false","true","false"
"1fsdfdsfsdf.tk","true","false","false"
"1funplace.com","false","true","false"
"1googlemail.com","false","true","false"
"1hiphopfan.com","false","true","false"
"1internetdrive.com","false","true","false"
"1lv.in","false","true","false"
"1mail.ml","true","false","false"
"1mail.net","false","true","false"
"1mail.uk.to","false","true","false"
"1mail.x24hr.com","false","true","false"
"1me.net","false","true","false"
"1mum.com","false","true","false"
"1musicrow.com","false","true","false"
"1netdrive.com","false","true","false"
"1nsyncfan.com","false","true","false"
"1nut.com","false","true","false"
"1pad.de","true","false","false"
"1rentcar.top","false","true","false"
"1rmgqwfno8wplt.cf","false","true","false"
"1s.fr","true","false","false"
"1secmail.com","true","false","false"
"1secmail.net","true","false","false"
"1secmail.org","true","false","false"
"1secmail.xyz","false","true","false"
"1shivom.com","false","true","false"
"1spcziorgtfpqdo.ga","false","true","false"
"1spcziorgtfpqdo.tk","false","true","false"
"1ss.noip.me","false","true","false"
"1st-forms.com","true","false","false"
"1thecity.biz","false","true","false"
"1to1mail.org","true","false","false"
"1under.com","false","true","false"
"1up.orangotango.gq","false","true","false"
"1usemail.com","true","false","false"
"1webave.com","false","true","false"
"1webhighway.com","false","true","false"
"1webmail.info","true","false","false"
"1website.net","false","true","false"
"1zhuan.com","true","false","false"
"2.0-00.usa.cc","false","true","false"
"2.emailfake.ml","false","true","false"
"2.pl","false","true","false"
"2.sexymail.ooo","false","true","false"
"2.tebwinsoi.ooo","false","true","false"
"20.dns-cloud.net","false","true","false"
"2000rebates.stream","false","true","false"
"200555.com","false","true","false"
"2012-2016.ru","true","false","false"
"2014mail.ru","false","true","false"
"2018-12-23.ga","false","true","false"
"20abc.ru","false","true","false"
"20bit.ru","false","true","false"
"20boxme.org","false","true","false"
"20email.eu","true","false","false"
"20email.it","true","false","false"
"20mail.eu","true","false","false"
"20mail.in","true","false","false"
"20mail.it","true","false","false"
"20minute.email","false","true","false"
"20minutemail.com","true","false","false"
"20minutemail.it","true","false","false"
"20mm.eu","true","false","false"
"212.com","false","true","false"
"2120001.net","true","false","false"
"21cn.com","true","false","false"
"21lr12.cf","false","true","false"
"225522.ml","false","true","false"
"22mot.ru","false","true","false"
"22office.com","false","true","false"
"2323bryanstreet.com","false","true","false"
"23423.ru","false","true","false"
"247emaildata.com","false","true","false"
"247emails.com","false","true","false"
"24hinbox.com","true","false","false"
"24horas.com","false","true","false"
"24hourmail.com","true","false","false"
"24hourmail.net","true","false","false"
"24mail.top","false","true","false"
"25mails.com","false","true","false"
"28it.ru","false","true","false"
"291.usa.cc","false","true","false"
"2911.net","false","true","false"
"2980.com","false","true","false"
"2aitycnhnno6.cf","false","true","false"
"2aitycnhnno6.gq","false","true","false"
"2aitycnhnno6.ml","false","true","false"
"2and2mail.tk","false","true","false"
"2anom.com","true","false","false"
"2babe.com","false","true","false"
"2bmail.co.uk","false","true","false"
"2brutus.com","false","true","false"
"2ch.coms.hk","false","true","false"
"2ch.daemon.asia","false","true","false"
"2ch.orgs.hk","false","true","false"
"2-ch.space","false","true","false"
"2coolforyou.net","false","true","false"
"2d2i.com","false","true","false"
"2dfmail.ga","false","true","false"
"2dfmail.ml","false","true","false"
"2dfmail.tk","false","true","false"
"2die4.com","false","true","false"
"2emea.com","false","true","false"
"2ether.net","true","false","false"
"2fdgdfgdfgdf.tk","true","false","false"
"2hackermail.com","false","true","false"
"2hotforyou.net","false","true","false"
"2k18.mailr.eu","false","true","false"
"2-mail.com","false","true","false"
"2mailnext.com","false","true","false"
"2mailnext.top","false","true","false"
"2mydns.com","false","true","false"
"2nd-mail.xyz","false","true","false"
"2net.us","false","true","false"
"2night.dk","false","true","false"
"2odem.com","true","false","false"
"2p-mail.com","false","true","false"
"2prong.com","true","false","false"
"2sea.org","false","true","false"
"2sea.xyz","false","true","false"
"2senior.dk","false","true","false"
"2trom.com","false","true","false"
"2viewerl.com","false","true","false"
"2wc.info","true","false","false"
"2zpph1mgg70hhub.cf","false","true","false"
"2zpph1mgg70hhub.ga","false","true","false"
"2zpph1mgg70hhub.tk","false","true","false"
"30.dns-cloud.net","false","true","false"
"3000.it","false","true","false"
"300book.info","true","false","false"
"30abc.ru","false","true","false"
"30gigs.com","false","true","false"
"30mail.ir","true","false","false"
"30minutemail.com","true","false","false"
"30minutenmail.eu","false","true","false"
"30minutesmail.com","false","true","false"
"30mot.ru","false","true","false"
"30rip.ru","false","true","false"
"30wave.com","true","false","false"
"3126.com","false","true","false"
"3202.com","true","false","false"
"321-email.com","false","true","false"
"321media.com","false","true","false"
"333.igg.biz","false","true","false"
"33bit.ru","false","true","false"
"33m.co","false","true","false"
"33mail.com","false","true","false"
"360.ru","false","true","false"
"3675.mooo.com","false","true","false"
"36ru.com","true","false","false"
"37.com","false","true","false"
"3ammagazine.com","false","true","false"
"3dmail.com","false","true","false"
"3d-painting.com","true","false","false"
"3email.com","false","true","false"
"3ew.usa.cc","false","true","false"
"3g.ua","false","true","false"
"3gk2yftgot.gq","false","true","false"
"3gk2yftgot.ml","false","true","false"
"3krtqc2fr7e.cf","false","true","false"
"3l6.com","true","false","false"
"3mail.ga","true","false","false"
"3mail.rocks","false","true","false"
"3trtretgfrfe.tk","true","false","false"
"3utasmqjcv.cf","false","true","false"
"3utasmqjcv.tk","false","true","false"
"3x0ex1x2yx0.ga","false","true","false"
"3x0ex1x2yx0.ml","false","true","false"
"3x0ex1x2yx0.tk","false","true","false"
"3xl.net","false","true","false"
"4.fackme.gq","false","true","false"
"40.volvo-xc.ml","false","true","false"
"40.volvo-xc.tk","false","true","false"
"4057.com","true","false","false"
"4059.com","false","true","false"
"40abc.ru","false","true","false"
"418.dk","true","false","false"
"41v1relaxn.com","false","true","false"
"420blaze.it","false","true","false"
"42o.org","true","false","false"
"444.net","false","true","false"
"44556677.igg.biz","false","true","false"
"456.dns-cloud.net","false","true","false"
"45it.ru","false","true","false"
"45kti.xyz","false","true","false"
"466453.usa.cc","false","true","false"
"487.nut.cc","false","true","false"
"4alphapro.com","false","true","false"
"4dm.4dy.org","false","true","false"
"4easyemail.com","false","true","false"
"4email.com","false","true","false"
"4email.net","false","true","false"
"4free.li","false","true","false"
"4gfdsgfdgfd.tk","true","false","false"
"4mail.cf","true","false","false"
"4mail.ga","true","false","false"
"4mail.top","false","true","false"
"4mg.com","false","true","false"
"4-n.us","true","false","false"
"4newyork.com","false","true","false"
"4nmv.ru","true","false","false"
"4orty.com","false","true","false"
"4pet.ro","false","true","false"
"4senditnow.com","false","true","false"
"4simpleemail.com","false","true","false"
"4struga.com","false","true","false"
"4tb.host","true","false","false"
"4up3vtaxujpdm2.cf","false","true","false"
"4up3vtaxujpdm2.ga","false","true","false"
"4up3vtaxujpdm2.gq","false","true","false"
"4vn.in","false","true","false"
"4vq19hhmxgaruka.cf","false","true","false"
"4vq19hhmxgaruka.ga","false","true","false"
"4vq19hhmxgaruka.gq","false","true","false"
"4vq19hhmxgaruka.ml","false","true","false"
"4w.io","false","true","false"
"4warding.com","true","false","false"
"4warding.net","true","false","false"
"4warding.org","true","false","false"
"4x4fan.com","false","true","false"
"4x4man.com","false","true","false"
"4x4n.ru","false","true","false"
"4xzotgbunzq.cf","false","true","false"
"4xzotgbunzq.gq","false","true","false"
"500-0-501.ru","false","true","false"
"50abc.ru","false","true","false"
"50it.ru","false","true","false"
"50jin.ru","false","true","false"
"50mail.com","false","true","false"
"50mb.ml","false","true","false"
"50saleclub.com","false","true","false"
"50set.ru","true","false","false"
"510520.org","false","true","false"
"51xh.fun","false","true","false"
"52it.ru","false","true","false"
"54np.club","false","true","false"
"54tiljt6dz9tcdryc2g.cf","false","true","false"
"54tiljt6dz9tcdryc2g.ga","false","true","false"
"555gmail.com","false","true","false"
"55hosting.net","true","false","false"
"56787.com","false","true","false"
"5am5ung.cf","false","true","false"
"5am5ung.ga","false","true","false"
"5am5ung.gq","false","true","false"
"5am5ung.ml","false","true","false"
"5am5ung.tk","false","true","false"
"5ballov.ru","false","true","false"
"5dsmartstore.com","false","true","false"
"5fm.za.com","false","true","false"
"5ghgfhfghfgh.tk","true","false","false"
"5gramos.com","true","false","false"
"5iron.com","false","true","false"
"5july.org","true","false","false"
"5mail.cf","true","false","false"
"5mail.ga","true","false","false"
"5-mail.info","false","true","false"
"5mails.xyz","false","true","false"
"5music.info","false","true","false"
"5music.top","false","true","false"
"5oz.ru","true","false","false"
"5star.com","false","true","false"
"5x2.de","false","true","false"
"5x25.com","true","false","false"
"5ymail.com","true","false","false"
"6.emailfake.ml","false","true","false"
"60.volvo-xc.ml","false","true","false"
"60.volvo-xc.tk","false","true","false"
"60minutemail.com","true","false","false"
"60-minuten-mail.de","false","true","false"
"60s.in","false","true","false"
"62it.ru","false","true","false"
"6-6-6.cf","false","true","false"
"6-6-6.ga","false","true","false"
"666-evil.com","false","true","false"
"666-satan.cf","false","true","false"
"666-satan.ga","false","true","false"
"666-satan.gq","false","true","false"
"666-satan.ml","false","true","false"
"666-satan.tk","false","true","false"
"672643.net","true","false","false"
"675hosting.com","true","false","false"
"675hosting.net","true","false","false"
"675hosting.org","true","false","false"
"67832.cf","false","true","false"
"67832.ga","false","true","false"
"67832.ml","false","true","false"
"67832.tk","false","true","false"
"688as.org","false","true","false"
"68mail.com","false","true","false"
"69-ew.tk","false","true","false"
"69postix.info","false","true","false"
"6brmwv.cf","false","true","false"
"6brmwv.ga","false","true","false"
"6brmwv.gq","false","true","false"
"6brmwv.ml","false","true","false"
"6brmwv.tk","false","true","false"
"6hjgjhgkilkj.tk","true","false","false"
"6ip.us","true","false","false"
"6lhp5tembvpl.cf","false","true","false"
"6lhp5tembvpl.ga","false","true","false"
"6lhp5tembvpl.gq","false","true","false"
"6lhp5tembvpl.ml","false","true","false"
"6lhp5tembvpl.tk","false","true","false"
"6mail.cf","true","false","false"
"6mail.ga","true","false","false"
"6mail.ml","true","false","false"
"6mail.top","false","true","false"
"6paq.com","true","false","false"
"6q70sdpgjzm2irltn.cf","false","true","false"
"6q70sdpgjzm2irltn.ga","false","true","false"
"6q70sdpgjzm2irltn.gq","false","true","false"
"6q70sdpgjzm2irltn.ml","false","true","false"
"6q70sdpgjzm2irltn.tk","false","true","false"
"6somok.ru","true","false","false"
"6url.com","true","false","false"
"702mail.co.za","false","true","false"
"71compete.com","false","true","false"
"74.ru","false","true","false"
"75hosting.com","true","false","false"
"75hosting.net","true","false","false"
"75hosting.org","true","false","false"
"75it.ru","false","true","false"
"789.dns-cloud.net","false","true","false"
"7days-printing.com","true","false","false"
"7ddf32e.info","false","true","false"
"7ijabi.com","false","true","false"
"7magazinov.ru","false","true","false"
"7mail.ga","true","false","false"
"7mail.io","false","true","false"
"7mail.ml","true","false","false"
"7mail.xyz","false","true","false"
"7mail7.com","false","true","false"
"7pccf.cf","false","true","false"
"7pccf.ga","false","true","false"
"7pccf.gq","false","true","false"
"7pccf.ml","false","true","false"
"7pccf.tk","false","true","false"
"7rent.top","false","true","false"
"7rtay.info","false","true","false"
"7tags.com","true","false","false"
"7uy35p.cf","false","true","false"
"7uy35p.ga","false","true","false"
"7uy35p.gq","false","true","false"
"7uy35p.ml","false","true","false"
"7uy35p.tk","false","true","false"
"8.fackme.gq","false","true","false"
"800sacramento.tk","false","true","false"
"806.flu.cc","false","true","false"
"80665.com","true","false","false"
"80it.ru","false","true","false"
"8127ep.com","true","false","false"
"8191.at","false","true","false"
"819110.com","false","true","false"
"8290.com","false","true","false"
"82c8.com","false","true","false"
"85it.ru","false","true","false"
"8601.ru","false","true","false"
"88.am","false","true","false"
"8848.net","false","true","false"
"888.nu","false","true","false"
"888z5.cf","false","true","false"
"888z5.ga","false","true","false"
"888z5.gq","false","true","false"
"888z5.ml","false","true","false"
"888z5.tk","false","true","false"
"88clean.pro","false","true","false"
"899079.com","false","true","false"
"8chan.co","false","true","false"
"8eoqovels2mxnxzwn7a.ga","false","true","false"
"8eoqovels2mxnxzwn7a.gq","false","true","false"
"8imefdzddci.cf","false","true","false"
"8imefdzddci.ga","false","true","false"
"8imefdzddci.gq","false","true","false"
"8imefdzddci.ml","false","true","false"
"8mail.cf","true","false","false"
"8mail.ga","true","false","false"
"8mail.ml","true","false","false"
"8oboi80bcv1.cf","false","true","false"
"8usmwuqxh1s1pw.gq","false","true","false"
"8usmwuqxh1s1pw.tk","false","true","false"
"8verxcdkrfal61pfag.ga","false","true","false"
"8wkkrizxpphbm3c.ga","false","true","false"
"8wkkrizxpphbm3c.gq","false","true","false"
"8xcdzvxgnfztticc.cf","false","true","false"
"8xcdzvxgnfztticc.gq","false","true","false"
"8xyz8.dynu.net","false","true","false"
"90.volvo-xc.ml","false","true","false"
"90.volvo-xc.tk","false","true","false"
"900k.es","false","true","false"
"909mail.dk","false","true","false"
"90bit.ru","false","true","false"
"91000.com","false","true","false"
"9260.dk","false","true","false"
"97rock.com","false","true","false"
"98usd.com","false","true","false"
"99.com","true","false","false"
"99cows.com","true","false","false"
"99email.xyz","false","true","false"
"99experts.com","true","false","false"
"99mail.cf","false","true","false"
"99price.co","false","true","false"
"99pubblicita.com","false","true","false"
"99publicita.com","false","true","false"
"99x99.com","false","true","false"
"9mail.cf","true","false","false"
"9mail9.cf","false","true","false"
"9me.site","true","false","false"
"9mot.ru","true","false","false"
"9ox.net","true","false","false"
"9q.ro","true","false","false"
"9skcqddzppe4.ga","false","true","false"
"9skcqddzppe4.tk","false","true","false"
"9toplay.com","false","true","false"
"9ya.de","false","true","false"
"9ziqmkpzz3aif.ga","false","true","false"
"9ziqmkpzz3aif.gq","false","true","false"
"9ziqmkpzz3aif.ml","false","true","false"
"a.a.fbmail.usa.cc","false","true","false"
"a.betr.co","false","true","false"
"a.mailcker.com","false","true","false"
"a.org.ua","false","true","false"
"a.sach.ir","false","true","false"
"a.vztc.com","false","true","false"
"a.wxnw.net","false","true","false"
"a.yertxenor.tk","false","true","false"
"a0.igg.biz","false","true","false"
"a0f7ukc.com","false","true","false"
"a1.usa.cc","false","true","false"
"a1aemail.win","false","true","false"
"a2.flu.cc","false","true","false"
"a2z4u.net","false","true","false"
"a41odgz7jh.com","false","true","false"
"a41odgz7jh.com.com","false","true","false"
"a45.in","true","false","false"
"a4craft.ru","false","true","false"
"a4zerwak0d.ga","false","true","false"
"a4zerwak0d.gq","false","true","false"
"a4zerwak0d.ml","false","true","false"
"a4zerwak0d.tk","false","true","false"
"a54pd15op.com","false","true","false"
"a7996.com","true","false","false"
"aa.da.mail-temp.com","false","true","false"
"aa5zy64.com","true","false","false"
"aaamail.zzn.com","false","true","false"
"aaaw45e.com","false","true","false"
"aahlife.com","false","true","false"
"aalna.org","false","true","false"
"aamail.net","false","true","false"
"aapt.net.au","false","true","false"
"aaronkwok.net","false","true","false"
"aaronson.cf","false","true","false"
"aasgashashashajh.cf","false","true","false"
"aasgashashashajh.ga","false","true","false"
"a-b.co.za","false","true","false"
"ab0.igg.biz","false","true","false"
"ababmail.ga","false","true","false"
"abacuswe.us","true","false","false"
"abakiss.com","true","false","false"
"abanksat.us","false","true","false"
"abarth.ga","false","true","false"
"abarth.gq","false","true","false"
"abarth.tk","false","true","false"
"abb.dnsabr.com","false","true","false"
"abb.dns-cloud.net","false","true","false"
"abbeyroadlondon.co.uk","false","true","false"
"abc.com","false","true","false"
"a-bc.net","true","false","false"
"abc1.ch","false","true","false"
"abcda.tech","false","true","false"
"abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijk.com","false","true","false"
"abcflash.net","false","true","false"
"abcmail.email","true","false","false"
"abcmail.men","false","true","false"
"abcz.info.tm","false","true","false"
"abdulnour.com","false","true","false"
"aberdeenfans.co.uk","false","true","false"
"aberystwyth.com","false","true","false"
"abiasa.online","false","true","false"
"abigail69.sexy","false","true","false"
"abilityskillup.info","false","true","false"
"abilitywe.us","true","false","false"
"abista.space","false","true","false"
"abnamro.usa.cc","false","true","false"
"abolition-now.com","false","true","false"
"about.com","false","true","false"
"abovewe.us","true","false","false"
"absolutesuccess.win","false","true","false"
"absolutevitality.com","false","true","false"
"absolutewe.us","true","false","false"
"abundantwe.us","true","false","false"
"abusemail.de","true","false","false"
"abuser.eu","true","false","false"
"abv.bg","false","true","false"
"ab-volvo.cf","false","true","false"
"ab-volvo.ga","false","true","false"
"ab-volvo.gq","false","true","false"
"ab-volvo.ml","false","true","false"
"ab-volvo.tk","false","true","false"
"abwesend.de","false","true","false"
"abyssemail.com","false","true","false"
"abyssmail.com","true","false","false"
"ac20mail.in","true","false","false"
"ac895.ga","false","true","false"
"ac895.gq","false","true","false"
"ac895.ml","false","true","false"
"academiccommunity.com","true","false","false"
"academycougars.com","false","true","false"
"academywe.us","true","false","false"
"accamail.com","false","true","false"
"acceleratewe.us","true","false","false"
"accentwe.us","true","false","false"
"acceptwe.us","true","false","false"
"acceso.or.cr","false","true","false"
"accesorii.info","false","true","false"
"access4less.net","false","true","false"
"accessgcc.com","false","true","false"
"acclaimwe.us","true","false","false"
"accordwe.us","true","false","false"
"accountant.com","false","true","false"
"accreditedwe.us","true","false","false"
"acdcfan.com","false","true","false"
"acdczone.com","false","true","false"
"ace.ace.gy","false","true","false"
"acemail.info","false","true","false"
"ace-mail.net","false","true","false"
"acentri.com","false","true","false"
"ace-of-base.com","false","true","false"
"acfddy.ltd","false","true","false"
"acgapp.hk","false","true","false"
"achievementwe.us","true","false","false"
"achievewe.us","true","false","false"
"acmecity.com","false","true","false"
"acmeco.tk","false","true","false"
"acmemail.net","false","true","false"
"ac-nation.club","false","true","false"
"acninc.net","false","true","false"
"acornwe.us","true","false","false"
"acrobatmail.com","false","true","false"
"acrylicwe.us","true","false","false"
"acsalaska.net","false","true","false"
"ac-strasbourg.fr","false","true","false"
"activatewe.us","true","false","false"
"activatormail.com","false","true","false"
"active.so","false","true","false"
"activist.com","false","true","false"
"activitywe.us","true","false","false"
"acucre.com","true","false","false"
"acuitywe.us","true","false","false"
"acumenwe.us","true","false","false"
"adadass.cf","false","true","false"
"adadass.ga","false","true","false"
"adadass.gq","false","true","false"
"adadass.ml","false","true","false"
"adadass.tk","false","true","false"
"adam.com.au","false","true","false"
"adamastore.co","false","true","false"
"adaptivewe.us","true","false","false"
"adaptwe.us","true","false","false"
"adbet.co","false","true","false"
"adcloud.us","false","true","false"
"add3000.pp.ua","true","false","false"
"addcom.de","false","true","false"
"addictingtrailers.com","true","false","false"
"address.com","false","true","false"
"adel.asia","false","true","false"
"adelaide.bike","false","true","false"
"adelphia.net","false","true","false"
"adeptwe.us","true","false","false"
"adesktop.com","false","true","false"
"adexec.com","false","true","false"
"adfarrow.com","false","true","false"
"adgloselche.esmtp.biz","false","true","false"
"adinet.com.uy","false","true","false"
"adios.net","false","true","false"
"adipex7z.com","false","true","false"
"adiq.eu","true","false","false"
"aditus.info","true","false","false"
"adjun.info","false","true","false"
"admin.in.th","false","true","false"
"administrativos.com","false","true","false"
"admiralwe.us","true","false","false"
"ado888.biz","true","false","false"
"adobeccepdm.com","true","false","false"
"adoniswe.us","true","false","false"
"adoption.com","false","true","false"
"ados.fr","false","true","false"
"adpugh.org","true","false","false"
"adrenalinefreak.com","false","true","false"
"adres.nl","false","true","false"
"adresseemailtemporaire.com","false","true","false"
"adrianou.gq","false","true","false"
"adriaticmail.com","false","true","false"
"adrmwn.me","false","true","false"
"adroit.asia","false","true","false"
"adsd.org","true","false","false"
"adubiz.info","true","false","false"
"adultcamzlive.com","false","true","false"
"adultvidlite.com","false","true","false"
"advalvas.be","false","true","false"
"advantagewe.us","true","false","false"
"advantimal.com","false","true","false"
"advantimals.com","false","true","false"
"advantimo.com","true","false","false"
"adventurewe.us","true","false","false"
"adventwe.us","true","false","false"
"advisorwe.us","true","false","false"
"advocatewe.us","true","false","false"
"adwaterandstir.com","true","false","false"
"adx-telecom.com","false","true","false"
"adzek.com","false","true","false"
"ae.pureskn.com","false","true","false"
"aegde.com","true","false","false"
"aegia.net","true","false","false"
"aegiscorp.net","true","false","false"
"aegiswe.us","true","false","false"
"aeiou.pt","false","true","false"
"aelo.es","true","false","false"
"aemail4u.com","false","true","false"
"aeneasmail.com","false","true","false"
"aeon.tk","false","true","false"
"aeonpsi.com","true","false","false"
