Text,LanguageCode,Language
"barelylegal","en","English"
"barenaked","en","English"
"barf","en","English"
"barface","en","English"
"barfface","en","English"
"bassterd","en","English"
"bassterds","en","English"
"bastard","en","English"
"bastardo","en","English"
"bastards","en","English"
"bastardz","en","English"
"basterds","en","English"
"basterdz","en","English"
"bastinado","en","English"
"bawdy","en","English"
"bazongas","en","English"
"bazooms","en","English"
"bbw","en","English"
"bdsm","en","English"
"beaner","en","English"
"beaners","en","English"
"beaney","en","English"
"beaneys","en","English"
"beardedclam","en","English"
"beastality","en","English"
"beastial","en","English"
"beastiality","en","English"
"beastility","en","English"
"beatch","en","English"
"beatoff","en","English"
"beatyourmeat","en","English"
"beaver cleaver","en","English"
"beaver lips","en","English"
"beef curtains","en","English"
"beeyotch","en","English"
"bellend","en","English"
"beotch","en","English"
"bestial","en","English"
"bestiality","en","English"
"bi curious","en","English"
"bi+ch","en","English"
"bi7ch","en","English"
"biatch","en","English"
"bicurious","en","English"
"big black","en","English"
"big breasts","en","English"
"big knockers","en","English"
"big tits","en","English"
"bigass","en","English"
"bigbastard","en","English"
"bigbreasts","en","English"
"bigbutt","en","English"
"bigtits","en","English"
"bimbos","en","English"
"bint","en","English"
"birdlock","en","English"
"bitch","en","English"
"bitchass","en","English"
"bitched","en","English"
"bitcher","en","English"
"bitchers","en","English"
"bitches","en","English"
"bitchez","en","English"
"bitchin","en","English"
"bitching","en","English"
"bitchslap","en","English"
"bitchtit","en","English"
"bitchy","en","English"
"biteme","en","English"
"bitties","en","English"
"black cock","en","English"
"blackcock","en","English"
"blackman","en","English"
"blackout","en","English"
"blacks","en","English"
"blonde action","en","English"
"blonde on blonde","en","English"
"blonde on blonde action","en","English"
"bloodclaat","en","English"
"bloody","en","English"
"blow j","en","English"
"blow job","en","English"
"blow your l","en","English"
"blow your load","en","English"
"blowjob","en","English"
"blowjobs","en","English"
"blue waffle","en","English"
"bluegum","en","English"
"bluegums","en","English"
"blumpkin","en","English"
"bo ob","en","English"
"bo obs","en","English"
"boang","en","English"
"boche","en","English"
"boches","en","English"
"bodily","en","English"
"boffing","en","English"
"bogan","en","English"
"bohunk","en","English"
"boink","en","English"
"boiolas","en","English"
"bollick","en","English"
"bollock","en","English"
"bollocks","en","English"
"bollok","en","English"
"bollox","en","English"
"bombers","en","English"
"bombing","en","English"
"bomd","en","English"
"bondage","en","English"
"boned","en","English"
"boner","en","English"
"boners","en","English"
"bong","en","English"
"boob","en","English"
"boobs","en","English"
"bookie","en","English"
"boong","en","English"
"boonga","en","English"
"boongas","en","English"
"boongs","en","English"
"boonie","en","English"
"boonies","en","English"
"booobs","en","English"
"boooobs","en","English"
"booooobs","en","English"
"booooooobs","en","English"
"bootee","en","English"
"bootlip","en","English"
"bootlips","en","English"
"booty call","en","English"
"boozer","en","English"
"boozy","en","English"
"bosch","en","English"
"bosche","en","English"
"bosches","en","English"
"boschs","en","English"
"bosomy","en","English"
"bounty bar","en","English"
"bounty bars","en","English"
"bountybar","en","English"
"brea5t","en","English"
"breastjob","en","English"
"breastlover","en","English"
"breastman","en","English"
"brown shower","en","English"
"brown showers","en","English"
"brunette action","en","English"
"btch","en","English"
"buceta","en","English"
"buddhahead","en","English"
"buddhaheads","en","English"
"buffies","en","English"
"bugger","en","English"
"buggered","en","English"
"buggery","en","English"
"bukake","en","English"
"bukkake","en","English"
"bullcrap","en","English"
"bulldike","en","English"
"bulldyke","en","English"
"bullet vibe","en","English"
"bullshit","en","English"
"bullshits","en","English"
"bullshitted","en","English"
"bullturds","en","English"
"bumblefuck","en","English"
"bumfuck","en","English"
"bung","en","English"
"bung hole","en","English"
"bunga","en","English"
"bungas","en","English"
"bunghole","en","English"
"bunny fucker","en","English"
"burr head","en","English"
"burr heads","en","English"
"burrhead","en","English"
"burrheads","en","English"
"busty","en","English"
"butchbabes","en","English"
"butchdike","en","English"
"butchdyke","en","English"
"butt","en","English"
"butt plug","en","English"
"butt-pirate","en","English"
"buttbang","en","English"
"buttcheeks","en","English"
"buttface","en","English"
"buttfuck","en","English"
"buttfucker","en","English"
"buttfuckers","en","English"
"butthead","en","English"
"butthole","en","English"
"buttman","en","English"
"buttmuch","en","English"
"buttmunch","en","English"
"buttmuncher","en","English"
"buttpirate","en","English"
"buttplug","en","English"
"buttstain","en","English"
"buttwipe","en","English"
"byatch","en","English"
"c u n t","en","English"
"c-0-c-k","en","English"
"c-o-c-k","en","English"
"c-u-n-t","en","English"
"c.0.c.k","en","English"
"c.o.c.k.","en","English"
"c.u.n.t","en","English"
"c0ck","en","English"
"c0cks","en","English"
"c0cksucker","en","English"
"c0k","en","English"
"cabron","en","English"
"cacker","en","English"
"cahone","en","English"
"camel jockey","en","English"
"camel jockeys","en","English"
"camel toe","en","English"
"cameljockey","en","English"
"cameltoe","en","English"
"camgirl","en","English"
"camslut","en","English"
"camwhore","en","English"
"carpet muncher","en","English"
"carpetmuncher","en","English"
"carruth","en","English"
"cawk","en","English"
"cawks","en","English"
"cervix","en","English"
"chav","en","English"
"cheese eating surrender monkey","en","English"
"cheese eating surrender monkies","en","English"
"cheeseeating surrender monkey","en","English"
"cheeseeating surrender monkies","en","English"
"cheesehead","en","English"
"cheeseheads","en","English"
"cherrypopper","en","English"
"chickslick","en","English"
"china swede","en","English"
"china swedes","en","English"
"chinaman","en","English"
"chinamen","en","English"
"chinaswede","en","English"
"chinaswedes","en","English"
"chinc","en","English"
"chincs","en","English"
"ching chong","en","English"
"ching chongs","en","English"
"chinga","en","English"
"chingchong","en","English"
"chingchongs","en","English"
"chink","en","English"
"chinks","en","English"
"chinky","en","English"
"choad","en","English"
"chocolate rosebuds","en","English"
"chode","en","English"
"chodes","en","English"
"chonkies","en","English"
"chonky","en","English"
"chonkys","en","English"
"chraa","en","English"
"christ killer","en","English"
"christ killers","en","English"
"chug","en","English"
"chugs","en","English"
"chunger","en","English"
"chungers","en","English"
"chunkies","en","English"
"chunkys","en","English"
"chute","en","English"
"circlejerk","en","English"
"cl1t","en","English"
"clamdigger","en","English"
"clamdiver","en","English"
"clamps","en","English"
"clansman","en","English"
"clansmen","en","English"
"clanswoman","en","English"
"clanswomen","en","English"
"cleveland steamer","en","English"
"clit","en","English"
"clitface","en","English"
"clitfuck","en","English"
"clitoris","en","English"
"clitorus","en","English"
"clits","en","English"
"clitty","en","English"
"clogwog","en","English"
"clover clamps","en","English"
"clusterfuck","en","English"
"cnts","en","English"
"cntz","en","English"
"cnut","en","English"
"cocain","en","English"
"cocaine","en","English"
"cock-head","en","English"
"cock-sucker","en","English"
"cockbite","en","English"
"cockblock","en","English"
"cockblocker","en","English"
"cockburger","en","English"
"cockcowboy","en","English"
"cockface","en","English"
"cockfight","en","English"
"cockfucker","en","English"
"cockhead","en","English"
"cockholster","en","English"
"cockjockey","en","English"
"cockknob","en","English"
"cockknocker","en","English"
"cockknoker","en","English"
"cocklicker","en","English"
"cocklover","en","English"
"cockmaster","en","English"
"cockmongler","en","English"
"cockmongruel","en","English"
"cockmonkey","en","English"
"cockmunch","en","English"
"cockmuncher","en","English"
"cocknob","en","English"
"cocknose","en","English"
"cocknugget","en","English"
"cockqueen","en","English"
"cockrider","en","English"
"cocks","en","English"
"cockshit","en","English"
"cocksman","en","English"
"cocksmith","en","English"
"cocksmoker","en","English"
"cocksucer","en","English"
"cocksuck","en","English"
"cocksucked","en","English"
"cocksucker","en","English"
"cocksucking","en","English"
"cocksucks","en","English"
"cocksuka","en","English"
"cocksukka","en","English"
"cocktease","en","English"
"cocky","en","English"
"cohee","en","English"
"coital","en","English"
"coitus","en","English"
"cok","en","English"
"cokmuncher","en","English"
"coksucka","en","English"
"commie","en","English"
"condom","en","English"
"coochie","en","English"
"coochy","en","English"
"coolie","en","English"
"coolies","en","English"
"cooly","en","English"
"coon","en","English"
"coon ass","en","English"
"coon asses","en","English"
"coonass","en","English"
"coonasses","en","English"
"coondog","en","English"
"coons","en","English"
"cooter","en","English"
"coprolagnia","en","English"
"coprophilia","en","English"
"copulate","en","English"
"corksucker","en","English"
"cornhole","en","English"
"cra5h","en","English"
"crabs","en","English"
"crackcocain","en","English"
"cracker","en","English"
"crackpipe","en","English"
"crackwhore","en","English"
"crap","en","English"
"crapola","en","English"
"crapper","en","English"
"crappy","en","English"
"creampie","en","English"
"crotch","en","English"
"crotchjockey","en","English"
"crotchmonkey","en","English"
"crotchrot","en","English"
"cuck","en","English"
"cum","en","English"
"cum face","en","English"
"cum licker","en","English"
"cumbubble","en","English"
"cumdumpster","en","English"
"cumfest","en","English"
"cumguzzler","en","English"
"cuming","en","English"
"cumjockey","en","English"
"cumlickr","en","English"
"cumm","en","English"
"cummer","en","English"
"cummin","en","English"
"cumming","en","English"
"cumquat","en","English"
"cumqueen","en","English"
"cums","en","English"
"cumshot","en","English"
"cumshots","en","English"
"cumslut","en","English"
"cumstain","en","English"
"cumsucker","en","English"
"cumtart","en","English"
"cunilingus","en","English"
"cunillingus","en","English"
"cunn","en","English"
"cunnie","en","English"
"cunnilingus","en","English"
"cunntt","en","English"
"cunny","en","English"
"cunt","en","English"
"cunteyed","en","English"
"cuntface","en","English"
"cuntfuck","en","English"
"cuntfucker","en","English"
"cunthole","en","English"
"cunthunter","en","English"
"cuntlick","en","English"
"cuntlicker","en","English"
"cuntlicking","en","English"
"cuntrag","en","English"
"cunts","en","English"
"cuntslut","en","English"
"cuntsucker","en","English"
"cuntz","en","English"
"curry muncher","en","English"
"curry munchers","en","English"
"currymuncher","en","English"
"currymunchers","en","English"
"cushi","en","English"
"cushis","en","English"
"cyalis","en","English"
"cyberfuc","en","English"
"cyberfuck","en","English"
"cyberfucked","en","English"
"cyberfucker","en","English"
"cyberfuckers","en","English"
"cyberfucking","en","English"
"cybersex","en","English"
"cyberslimer","en","English"
"d0ng","en","English"
"d0uch3","en","English"
"d0uche","en","English"
"d1ck","en","English"
"d1ld0","en","English"
"d1ldo","en","English"
"d4mn","en","English"
"dago","en","English"
"dagos","en","English"
"dahmer","en","English"
"damm","en","English"
"dammit","en","English"
"damn","en","English"
"damnation","en","English"
"damned","en","English"
"damnit","en","English"
"darkey","en","English"
"darkeys","en","English"
"darkie","en","English"
"darkies","en","English"
"darky","en","English"
"date rape","en","English"
"daterape","en","English"
"datnigga","en","English"
"dawgie style","en","English"
"dawgie-style","en","English"
"daygo","en","English"
"deapthroat","en","English"
"deep throat","en","English"
"deep throating","en","English"
"deepaction","en","English"
"deepthroat","en","English"
"deepthroating","en","English"
"defecate","en","English"
"deggo","en","English"
"dego","en","English"
"degos","en","English"
"demon","en","English"
"dendrophilia","en","English"
"destroyyourpussy","en","English"
"deth","en","English"
"diaper daddy","en","English"
"diaper head","en","English"
"diaper heads","en","English"
"diaperdaddy","en","English"
"diaperhead","en","English"
"diaperheads","en","English"
"dick","en","English"
"dick pic","en","English"
"dick-ish","en","English"
"dickbag","en","English"
"dickbeater","en","English"
"dickbeaters","en","English"
"dickbrain","en","English"
"dickdipper","en","English"
"dickface","en","English"
"dickflipper","en","English"
"dickforbrains","en","English"
"dickfuck","en","English"
"dickhead","en","English"
"dickheads","en","English"
"dickhole","en","English"
"dickish","en","English"
"dickjuice","en","English"
"dickless","en","English"
"dicklick","en","English"
"dicklicker","en","English"
"dickman","en","English"
"dickmilk","en","English"
"dickmonger","en","English"
"dickpic","en","English"
"dickripper","en","English"
"dicks","en","English"
"dicksipper","en","English"
"dickslap","en","English"
"dickslicker","en","English"
"dicksucker","en","English"
"dickwad","en","English"
"dickweasel","en","English"
"dickweed","en","English"
"dickwhipper","en","English"
"dickwod","en","English"
"dickzipper","en","English"
"diddle","en","English"
"dike","en","English"
"dild0","en","English"
"dild0s","en","English"
"dildo","en","English"
"dildos","en","English"
"dilf","en","English"
"diligaf","en","English"
"dilld0","en","English"
"dilld0s","en","English"
"dillweed","en","English"
"dimwit","en","English"
"dingle","en","English"
"dingleberries","en","English"
"dingleberry","en","English"
"dink","en","English"
"dinks","en","English"
"dipship","en","English"
"dipshit","en","English"
"dipstick","en","English"
"dirsa","en","English"
"dirty pillows","en","English"
"dirty sanchez","en","English"
"dix","en","English"
"dixiedike","en","English"
"dixiedyke","en","English"
"dlck","en","English"
"dog style","en","English"
"dog-fucker","en","English"
"doggie","en","English"
"doggie style","en","English"
"doggie-style","en","English"
"doggiestyle","en","English"
"doggin","en","English"
"dogging","en","English"
"doggy style","en","English"
"doggy-style","en","English"
"doggystyle","en","English"
"dolcett","en","English"
"domination","en","English"
"dominatricks","en","English"
"dominatrics","en","English"
"dominatrix","en","English"
"dommes","en","English"
"dong","en","English"
"donkey punch","en","English"
"donkeypunch","en","English"
"donkeyribber","en","English"
"doochbag","en","English"
"doodoo","en","English"
"doofus","en","English"
"dookie","en","English"
"doosh","en","English"
"dot head","en","English"
"dot heads","en","English"
"dothead","en","English"
"dotheads","en","English"
"double dong","en","English"
"double penetration","en","English"
"doubledong","en","English"
"doublepenetration","en","English"
"douch3","en","English"
"douche","en","English"
"douche bag","en","English"
"douche-fag","en","English"
"douchebag","en","English"
"douchebags","en","English"
"douchewaffle","en","English"
"douchey","en","English"
"dp action","en","English"
"dpaction","en","English"
"dragqueen","en","English"
"dragqween","en","English"
"dripdick","en","English"
"dry hump","en","English"
"dryhump","en","English"
"duche","en","English"
"dudette","en","English"
"dumass","en","English"
"dumb ass","en","English"
"dumbass","en","English"
"dumbasses","en","English"
"dumbbitch","en","English"
"dumbfuck","en","English"
"dumbshit","en","English"
"dumshit","en","English"
"dune coon","en","English"
"dune coons","en","English"
"dvda","en","English"
"dyefly","en","English"
"dyke","en","English"
"dykes","en","English"
"earotics","en","English"
"easyslut","en","English"
"eat my","en","English"
"eat my ass","en","English"
"eatadick","en","English"
"eatballs","en","English"
"eathairpie","en","English"
"eatme","en","English"
"eatmyass","en","English"
"eatpussy","en","English"
"ecchi","en","English"
"ejackulate","en","English"
"ejaculation","en","English"
"ejakulate","en","English"
"ekrem","en","English"
"ekto","en","English"
"enculer","en","English"
"enema","en","English"
"enlargement","en","English"
"erect","en","English"
"erection","en","English"
"ero","en","English"
"erotic","en","English"
"erotism","en","English"
"escort","en","English"
"esqua","en","English"
"essohbee","en","English"
"ethical slut","en","English"
"eunuch","en","English"
"evl","en","English"
"excrement","en","English"
"exkwew","en","English"
"extacy","en","English"
"extasy","en","English"
"f u c k","en","English"
"f u c k e","en","English"
"f u c k e r","en","English"
"f u k","en","English"
"f*ck","en","English"
"f-u-c-k","en","English"
"f.u.c.k","en","English"
"f4nny","en","English"
"f_u_c_k","en","English"
"facefucker","en","English"
"fack","en","English"
"faeces","en","English"
"faen","en","English"
"fag","en","English"
"fag1t","en","English"
"fagbag","en","English"
"faget","en","English"
"fagfucker","en","English"
"fagg","en","English"
"fagg1t","en","English"
"fagged","en","English"
"fagging","en","English"
"faggit","en","English"
"faggitt","en","English"
"faggot","en","English"
"faggotcock","en","English"
"faggs","en","English"
"fagit","en","English"
"fagot","en","English"
"fagots","en","English"
"fags","en","English"
"fagt","en","English"
"fagtard","en","English"
"fagz","en","English"
"faig","en","English"
"faigs","en","English"
"faigt","en","English"
"fanculo","en","English"
"fannybandit","en","English"
"fannyflaps","en","English"
"fannyfucker","en","English"
"fanyy","en","English"
"fartknocker","en","English"
"fastfuck","en","English"
"fatah","en","English"
"fatfuck","en","English"
"fatfucker","en","English"
"fatso","en","English"
"fck","en","English"
"fckcum","en","English"
"fckd","en","English"
"fcuk","en","English"
"fcuker","en","English"
"fcuking","en","English"
"fecal","en","English"
"feck","en","English"
"fecker","en","English"
"feg","en","English"
"felatio","en","English"
"felch","en","English"
"felcher","en","English"
"felching","en","English"
"fellate","en","English"
"fellatio","en","English"
"feltch","en","English"
"feltcher","en","English"
"feltching","en","English"
"female squirting","en","English"
"femalesquirtin","en","English"
"femalesquirting","en","English"
"femdom","en","English"
"fetish","en","English"
"figging","en","English"
"fingerbang","en","English"
"fingerfood","en","English"
"fingerfuck","en","English"
"fingerfucked","en","English"
"fingerfucker","en","English"
"fingerfuckers","en","English"
"fingerfucking","en","English"
"fingerfucks","en","English"
"fingering","en","English"
"fisted","en","English"
"fister","en","English"
"fistfuck","en","English"
"fistfucked","en","English"
"fistfucker","en","English"
"fistfuckers","en","English"
"fistfucking","en","English"
"fistfuckings","en","English"
"fistfucks","en","English"
"fisting","en","English"
"fisty","en","English"
"fitt","en","English"
"flamer","en","English"
"flange","en","English"
"flasher","en","English"
"flipping the bird","en","English"
"flogthelog","en","English"
"floo","en","English"
"floozy","en","English"
"flydie","en","English"
"flydye","en","English"
"foad","en","English"
"fok","en","English"
"fondle","en","English"
"foobar","en","English"
"fook","en","English"
"fooker","en","English"
"foot fetish","en","English"
"footaction","en","English"
"footfetish","en","English"
"footfuck","en","English"
"footfucker","en","English"
"footjob","en","English"
"footlicker","en","English"
"footstar","en","English"
"foreskin","en","English"
"forni","en","English"
"fornicate","en","English"
"foursome","en","English"
"fourtwenty","en","English"
"freakfuck","en","English"
"freakyfucker","en","English"
"freefuck","en","English"
"freex","en","English"
"frigg","en","English"
"frigga","en","English"
"frigger","en","English"
"frotting","en","English"
"fucck","en","English"
"fuck buttons","en","English"
"fuck-tard","en","English"
"fucka","en","English"
"fuckable","en","English"
"fuckass","en","English"
"fuckbag","en","English"
"fuckbitch","en","English"
"fuckbook","en","English"
"fuckboy","en","English"
"fuckbrain","en","English"
"fuckbuddy","en","English"
"fuckbutt","en","English"
"fuckd","en","English"
"fucked","en","English"
"fuckedup","en","English"
"fucker","en","English"
"fuckers","en","English"
"fuckersucker","en","English"
"fuckface","en","English"
"fuckfest","en","English"
"fuckfreak","en","English"
"fuckfriend","en","English"
"fuckhead","en","English"
"fuckheads","en","English"
"fuckher","en","English"
"fuckhole","en","English"
"fuckin","en","English"
"fuckina","en","English"
"fucking","en","English"
"fuckingbitch","en","English"
"fuckings","en","English"
"fuckingshitmotherfucker","en","English"
"fuckinnuts","en","English"
"fuckinright","en","English"
"fuckit","en","English"
"fuckknob","en","English"
"fuckme","en","English"
"fuckmeat","en","English"
"fuckmehard","en","English"
"fuckmonkey","en","English"
"fuckn","en","English"
"fucknugget","en","English"
"fucknut","en","English"
"fucknuts","en","English"
"fucknutt","en","English"
"fucknutz","en","English"
"fuckoff","en","English"
"fuckpig","en","English"
"fuckpuppet","en","English"
"fuckr","en","English"
"fucks","en","English"
"fuckstick","en","English"
"fucktard","en","English"
"fucktards","en","English"
"fucktoy","en","English"
"fucktrophy","en","English"
"fuckup","en","English"
"fuckwad","en","English"
"fuckwhit","en","English"
"fuckwhore","en","English"
"fuckwit","en","English"
"fuckwitt","en","English"
"fuckyomama","en","English"
"fuckyou","en","English"
"fudge packer","en","English"
"fudgepacker","en","English"
"fugly","en","English"
"fuk","en","English"
"fukah","en","English"
"fuken","en","English"
"fuker","en","English"
"fukin","en","English"
"fuking","en","English"
"fukk","en","English"
"fukkah","en","English"
"fukken","en","English"
"fukker","en","English"
"fukkin","en","English"
"fukking","en","English"
"fuks","en","English"
"fuktard","en","English"
"fuktards","en","English"
"fukwhit","en","English"
"fukwit","en","English"
"funfuck","en","English"
"fungus","en","English"
"futanari","en","English"
"futanary","en","English"
"futkretzn","en","English"
"fuuck","en","English"
"fux","en","English"
"fux0r","en","English"
"fuxor","en","English"
"fvck","en","English"
"fvk","en","English"
"fxck","en","English"
"g-spot","en","English"
"g00k","en","English"
"gae","en","English"
"gai","en","English"
"gang bang","en","English"
"gangbang","en","English"
"gangbanged","en","English"
"gangbanger","en","English"
"gangbangs","en","English"
"gangsta","en","English"
"ganja","en","English"
"gassyass","en","English"
"gator bait","en","English"
"gatorbait","en","English"
"gay sex","en","English"
"gayass","en","English"
"gaybob","en","English"
"gayboy","en","English"
"gaydo","en","English"
"gaygirl","en","English"
"gaylord","en","English"
"gaymuthafuckinwhore","en","English"
"gays","en","English"
"gaysex","en","English"
"gaytard","en","English"
"gaywad","en","English"
"gayz","en","English"
"geezer","en","English"
"geni","en","English"
"genital","en","English"
"genitals","en","English"
"getiton","en","English"
"gey","en","English"
"gfy","en","English"
"ghay","en","English"
"ghey","en","English"
"giant cock","en","English"
"gigolo","en","English"
"ginzo","en","English"
"ginzos","en","English"
"gipp","en","English"
"gippo","en","English"
"gippos","en","English"
"gipps","en","English"
"girl on","en","English"
"girl on top","en","English"
"girls gone wild","en","English"
"givehead","en","English"
"glans","en","English"
"glazeddonut","en","English"
"goatcx","en","English"
"goatse","en","English"
"gob","en","English"
"god dammit","en","English"
"god damn","en","English"
"god damnit","en","English"
"god-dam","en","English"
"god-damned","en","English"
"godam","en","English"
"godammit","en","English"
"godamn","en","English"
"godamnit","en","English"
"goddam","en","English"
"goddamit","en","English"
"goddamm","en","English"
"goddammit","en","English"
"goddamn","en","English"
"goddamned","en","English"
"goddamnes","en","English"
"goddamnit","en","English"
"goddamnmuthafucker","en","English"
"godsdamn","en","English"
"gokkun","en","English"
"golden shower","en","English"
"goldenshower","en","English"
"golliwog","en","English"
"golliwogs","en","English"
"gonad","en","English"
"gonads","en","English"
"gonorrehea","en","English"
"gonzagas","en","English"
"goo girl","en","English"
"gooch","en","English"
"goodpoop","en","English"
"gook","en","English"
"gook eye","en","English"
"gook eyes","en","English"
"gookeye","en","English"
"gookeyes","en","English"
"gookies","en","English"
"gooks","en","English"
"gooky","en","English"
"gora","en","English"
"goras","en","English"
"goregasm","en","English"
"gotohell","en","English"
"goy","en","English"
"goyim","en","English"
"greaseball","en","English"
"greaseballs","en","English"
"groe","en","English"
"groid","en","English"
"groids","en","English"
"grope","en","English"
"grostulation","en","English"
"group sex","en","English"
"gspot","en","English"
"gstring","en","English"
"gtfo","en","English"
"gub","en","English"
"gubba","en","English"
"gubbas","en","English"
"gubs","en","English"
"guido","en","English"
"guiena","en","English"
"guineas","en","English"
"guizi","en","English"
"gummer","en","English"
"guro","en","English"
"gwailo","en","English"
"gwailos","en","English"
"gweilo","en","English"
"gweilos","en","English"
"gyopo","en","English"
"gyopos","en","English"
"gyp","en","English"
"gyped","en","English"
"gypo","en","English"
"gypos","en","English"
"gypp","en","English"
"gypped","en","English"
"gyppie","en","English"
"gyppies","en","English"
"gyppo","en","English"
"gyppos","en","English"
"gyppy","en","English"
"gyppys","en","English"
"gypsys","en","English"
"h e l l","en","English"
"h o m","en","English"
"h00r","en","English"
"h0ar","en","English"
"h0m0","en","English"
"h0mo","en","English"
"h0r","en","English"
"h0re","en","English"
"h4x0r","en","English"
"hadji","en","English"
"hadjis","en","English"
"hairyback","en","English"
"hairybacks","en","English"
"haji","en","English"
"hajis","en","English"
"hajji","en","English"
"hajjis","en","English"
"half breed","en","English"
"half caste","en","English"
"halfbreed","en","English"
"halfcaste","en","English"
"hamas","en","English"
"hamflap","en","English"
"hand job","en","English"
"handjob","en","English"
"haole","en","English"
"haoles","en","English"
"hapa","en","English"
"hard core","en","English"
"hardcore","en","English"
"hardcoresex","en","English"
"hardon","en","English"
"harem","en","English"
"he11","en","English"
"headfuck","en","English"
"hebe","en","English"
"hebes","en","English"
"heeb","en","English"
"heebs","en","English"
"hell","en","English"
"hells","en","English"
"hentai","en","English"
"heroin","en","English"
"herp","en","English"
"herpes","en","English"
"herpy","en","English"
"heshe","en","English"
"hijacker","en","English"
"hijacking","en","English"
"hillbillies","en","English"
"hillbilly","en","English"
"hindoo","en","English"
"hiscock","en","English"
"hitler","en","English"
"hitlerism","en","English"
"hitlerist","en","English"
"hoar","en","English"
"hoare","en","English"
"hobag","en","English"
"hodgie","en","English"
"hoe","en","English"
